session_id,tags,tag1,tag2,track,time_block,timetable1,timetable2,session_title,speaker_name_keys1,speaker_name_keys2,tags,note,session_title_filled
S-KN-01,"part1,opening",,,1Fホール,13:00–13:15,13:00,13:15,オープニング,,,全体,,オープニング①
S-KN-02,"part1,keynote",ハイブリッド開催,グループワークなし,1Fホール,13:15–14:45,13:15,14:45,孤独なき『個の時代』の生存戦略　～自己変態理論とは～,與良だいち,田久保 善彦,Keynote,,全体講演
S-BR-01,break1,,,,14:40–15:00,14:45,15:00,休憩①,,,全体,,休憩①
S-1A,"part2,breakout1",東京校開催のみ,グループワークなし,202教室,15:00–16:00,15:00,16:00,マーケティングが導く企業変革 〜成長と革新のための戦略〜,伊藤浩孝,,LT,,分科会①
S-1B,"part2,breakout1",ハイブリッド開催,グループワークなし,203教室,15:00–16:00,15:00,16:00,GRAが15年で築いた『社会課題解決型』ローカルスタートアップの軌跡,岩佐大輝,田久保 善彦,LT,,分科会①
S-1C,"part2,breakout1",ハイブリッド開催,グループワークあり,205教室,15:00–16:00,15:00,16:00,組織におけるチームビルディングが一気に進む！「エンゲージメントカード」実践セッション,山本龍太,,LT,,分科会①
S-1D,"part2,breakout1",ハイブリッド開催,グループワークなし,206教室,15:00–16:00,15:00,16:00,"【速読×時間術で週3日で1,000万達成！！】「時間と場所に縛られない」パラレルキャリアの創り方",青山ひろみ,,LT,,分科会①
S-BR-02,break2,,,,16:00–16:20,16:00,16:20,休憩②,,,全体,,休憩②
S-2A,"part2,breakout2",ハイブリッド開催,グループワークあり,202教室,16:20–17:20,16:20,17:20,夢を仕組みに変える！〜マクアケ代表 木内氏が語る ゼロからIPO そしてその先への挑戦の軌跡〜,木内文昭,,LT,,分科会②
S-2B,"part2,breakout2",ハイブリッド開催,グループワークなし,203教室,16:20–17:20,16:20,17:20,【挑戦の熱量を成果に変える】「新規事業立ち上げ」実践論：壁を乗り越え事業創造を駆動するイントレプレナーの実行力と志,井上陽介,,LT,,分科会②
S-2C,"part2,breakout2",ハイブリッド開催,グループワークあり,205教室,16:20–17:20,16:20,17:20,応援される人になるための印象管理 ～より良いリレーショナルパワーの築き方～,加藤茜愛,,LT,,分科会②
S-2D,"part2,breakout2",ハイブリッド開催,グループワークあり,206教室,16:20–17:20,16:20,17:20,『デキる』リーダーが知るべき、『気遣い』と『ハラスメント』の境界線,木村恵,,LT,,分科会②
S-BR-03,break3,,,,16:20–17:30,17:20,17:30,休憩③,,,全体,,休憩③
S-3,"part3,networking",,,3Fラウンジ,17:30–19:00,17:30,19:00,懇親会,,,全体,,懇親会
S-EX-01,,,,,19:00–19:15,19:00,19:15,移動,,,全体,,移動
S-EX-02,,,,麹町,19:15–21:15,19:15,21:15,懇親会（任意）,,,全体,,懇親会（任意）